Amplitude, Phi, Normalized Tacc, Zeta, Fit Correlation 
1.7549, 1.8117, 0.45, 0.48, 1.0 
1.8605, 1.831, 0.45, 0.5, 1.0 
1.9791, 1.851, 0.45, 0.52, 1.0 
2.1116, 1.8708, 0.45, 0.54, 1.0 
2.2613, 1.891, 0.45, 0.56, 1.0 
2.4322, 1.9118, 0.45, 0.58, 1.0 
2.6295, 1.9336, 0.45, 0.6, 1.0 
2.8567, 1.9553, 0.45, 0.62, 1.0 
3.1231, 1.9779, 0.45, 0.64, 1.0 
3.439, 2.0013, 0.45, 0.66, 1.0 
3.8181, 2.0256, 0.45, 0.68, 1.0 
0.6742, 1.477, 0.47, 0.0, 1.0 
0.6946, 1.4939, 0.47, 0.02, 1.0 
0.716, 1.5112, 0.47, 0.04, 1.0 
0.7384, 1.5285, 0.47, 0.06, 1.0 
0.762, 1.5457, 0.47, 0.08, 1.0 
0.7868, 1.5627, 0.47, 0.1, 1.0 
0.8131, 1.5803, 0.47, 0.12, 1.0 
0.8408, 1.5978, 0.47, 0.14, 1.0 
0.8701, 1.6152, 0.47, 0.16, 1.0 
0.9012, 1.633, 0.47, 0.18, 1.0 
0.9342, 1.6501, 0.47, 0.2, 1.0 
0.9695, 1.6683, 0.47, 0.22, 1.0 
1.0071, 1.6864, 0.47, 0.24, 1.0 
1.0472, 1.7042, 0.47, 0.26, 1.0 
1.0904, 1.7224, 0.47, 0.28, 1.0 
1.1366, 1.7403, 0.47, 0.3, 1.0 
1.1864, 1.7585, 0.47, 0.32, 1.0 
1.2406, 1.7777, 0.47, 0.34, 1.0 
1.2991, 1.7964, 0.47, 0.36, 1.0 
1.3627, 1.8152, 0.47, 0.38, 1.0 
1.4324, 1.8348, 0.47, 0.4, 1.0 
1.5087, 1.8544, 0.47, 0.42, 1.0 
1.5922, 1.8738, 0.47, 0.44, 1.0 
1.6845, 1.8936, 0.47, 0.46, 1.0 
1.7877, 1.9144, 0.47, 0.48, 1.0 
1.9018, 1.9345, 0.47, 0.5, 1.0 
2.0311, 1.9561, 0.47, 0.52, 1.0 
2.1759, 1.9772, 0.47, 0.54, 1.0 
2.3412, 1.9993, 0.47, 0.56, 1.0 
2.5305, 2.0218, 0.47, 0.58, 1.0 
2.7482, 2.0444, 0.47, 0.6, 1.0 
3.0014, 2.0674, 0.47, 0.62, 1.0 
3.301, 2.0917, 0.47, 0.64, 1.0 
3.6554, 2.116, 0.47, 0.66, 1.0 
4.0844, 2.1414, 0.47, 0.68, 1.0 
0.6493, 1.5395, 0.49, 0.0, 1.0 
0.6698, 1.5587, 0.49, 0.02, 1.0 
0.6913, 1.5778, 0.49, 0.04, 1.0 
0.714, 1.5968, 0.49, 0.06, 1.0 
0.7379, 1.6157, 0.49, 0.08, 1.0 
0.7632, 1.6351, 0.49, 0.1, 1.0 
0.79, 1.6543, 0.49, 0.12, 1.0 
0.8183, 1.6734, 0.49, 0.14, 1.0 
0.8483, 1.6923, 0.49, 0.16, 1.0 
0.8803, 1.7117, 0.49, 0.18, 1.0 
0.9145, 1.7315, 0.49, 0.2, 1.0 
0.951, 1.7511, 0.49, 0.22, 1.0 
0.9899, 1.7705, 0.49, 0.24, 1.0 
1.0318, 1.7903, 0.49, 0.26, 1.0 
1.0769, 1.8104, 0.49, 0.28, 1.0 
1.1254, 1.8301, 0.49, 0.3, 1.0 
1.1778, 1.8501, 0.49, 0.32, 1.0 
1.2347, 1.8703, 0.49, 0.34, 1.0 
1.2969, 1.8914, 0.49, 0.36, 1.0 
1.3643, 1.9117, 0.49, 0.38, 1.0 
1.4385, 1.9328, 0.49, 0.4, 1.0 
1.5198, 1.9537, 0.49, 0.42, 1.0 
1.6097, 1.975, 0.49, 0.44, 1.0 
1.7094, 1.9967, 0.49, 0.46, 1.0 
1.8204, 2.0185, 0.49, 0.48, 1.0 
1.9451, 2.041, 0.49, 0.5, 1.0 
2.085, 2.0633, 0.49, 0.52, 1.0 
2.2432, 2.0858, 0.49, 0.54, 1.0 
2.4254, 2.1097, 0.49, 0.56, 1.0 
2.6334, 2.1331, 0.49, 0.58, 1.0 
2.8749, 2.1572, 0.49, 0.6, 1.0 
3.1566, 2.1815, 0.49, 0.62, 1.0 
3.4911, 2.2067, 0.49, 0.64, 1.0 
3.8928, 2.233, 0.49, 0.66, 1.0 
4.3783, 2.2595, 0.49, 0.68, 1.0 
0.6238, 1.6025, 0.51, 0.0, 1.0 
0.6444, 1.6237, 0.51, 0.02, 1.0 
0.666, 1.6442, 0.51, 0.04, 1.0 
0.6889, 1.6657, 0.51, 0.06, 1.0 
0.713, 1.6864, 0.51, 0.08, 1.0 
0.7387, 1.7076, 0.51, 0.1, 1.0 
0.7658, 1.7286, 0.51, 0.12, 1.0 
0.7948, 1.75, 0.51, 0.14, 1.0 
0.8255, 1.7712, 0.51, 0.16, 1.0 
0.8584, 1.7922, 0.51, 0.18, 1.0 
0.8935, 1.8137, 0.51, 0.2, 1.0 
0.9311, 1.8348, 0.51, 0.22, 1.0 
0.9715, 1.8563, 0.51, 0.24, 1.0 
1.0151, 1.8781, 0.51, 0.26, 1.0 
1.0619, 1.8995, 0.51, 0.28, 1.0 
1.1129, 1.9219, 0.51, 0.3, 1.0 
1.168, 1.9437, 0.51, 0.32, 1.0 
1.2279, 1.9657, 0.51, 0.34, 1.0 
1.2933, 1.9877, 0.51, 0.36, 1.0 
1.3651, 2.0104, 0.51, 0.38, 1.0 
1.4439, 2.0329, 0.51, 0.4, 1.0 
1.5305, 2.0552, 0.51, 0.42, 1.0 
1.627, 2.0786, 0.51, 0.44, 1.0 
1.7339, 2.1013, 0.51, 0.46, 1.0 
1.8539, 2.1249, 0.51, 0.48, 1.0 
1.9891, 2.149, 0.51, 0.5, 1.0 
2.1412, 2.1727, 0.51, 0.52, 1.0 
2.3149, 2.1972, 0.51, 0.54, 1.0 
2.5131, 2.2214, 0.51, 0.56, 1.0 
2.7428, 2.2465, 0.51, 0.58, 1.0 
3.0104, 2.2719, 0.51, 0.6, 1.0 
3.3256, 2.298, 0.51, 0.62, 1.0 
3.6989, 2.3242, 0.51, 0.64, 1.0 
4.1486, 2.351, 0.51, 0.66, 1.0 
4.6971, 2.3784, 0.51, 0.68, 1.0 
0.5979, 1.6655, 0.53, 0.0, 1.0 
0.6184, 1.6883, 0.53, 0.02, 1.0 
0.6401, 1.7114, 0.53, 0.04, 1.0 
0.663, 1.735, 0.53, 0.06, 1.0 
0.6874, 1.7577, 0.53, 0.08, 1.0 
0.7133, 1.7809, 0.53, 0.1, 1.0 
0.7409, 1.8044, 0.53, 0.12, 1.0 
0.7703, 1.8277, 0.53, 0.14, 1.0 
0.8017, 1.8508, 0.53, 0.16, 1.0 
0.8353, 1.8742, 0.53, 0.18, 1.0 
0.8714, 1.8973, 0.53, 0.2, 1.0 
0.9102, 1.9208, 0.53, 0.22, 1.0 
0.9521, 1.9445, 0.53, 0.24, 1.0 
0.9972, 1.9678, 0.53, 0.26, 1.0 
1.046, 1.9913, 0.53, 0.28, 1.0 
1.099, 2.015, 0.53, 0.3, 1.0 
1.1568, 2.0387, 0.53, 0.32, 1.0 
1.2201, 2.0633, 0.53, 0.34, 1.0 
1.289, 2.087, 0.53, 0.36, 1.0 
1.365, 2.1113, 0.53, 0.38, 1.0 
1.4486, 2.1353, 0.53, 0.4, 1.0 
1.5413, 2.1597, 0.53, 0.42, 1.0 
1.6445, 2.1843, 0.53, 0.44, 1.0 
1.7595, 2.209, 0.53, 0.46, 1.0 
1.8884, 2.2335, 0.53, 0.48, 1.0 
2.0349, 2.2592, 0.53, 0.5, 1.0 
2.2002, 2.2842, 0.53, 0.52, 1.0 
2.3895, 2.3099, 0.53, 0.54, 1.0 
2.6075, 2.3359, 0.53, 0.56, 1.0 
2.8596, 2.3617, 0.53, 0.58, 1.0 
3.1557, 2.3885, 0.53, 0.6, 1.0 
3.5058, 2.4156, 0.53, 0.62, 1.0 
3.9219, 2.4425, 0.53, 0.64, 1.0 
4.4277, 2.4705, 0.53, 0.66, 1.0 
5.0468, 2.4987, 0.53, 0.68, 1.0 
0.5717, 1.728, 0.55, 0.0, 1.0 
0.592, 1.7536, 0.55, 0.02, 1.0 
0.6136, 1.779, 0.55, 0.04, 1.0 
0.6366, 1.8042, 0.55, 0.06, 1.0 
0.661, 1.8298, 0.55, 0.08, 1.0 
0.6871, 1.8557, 0.55, 0.1, 1.0 
0.715, 1.8807, 0.55, 0.12, 1.0 
0.7449, 1.9067, 0.55, 0.14, 1.0 
0.7769, 1.9317, 0.55, 0.16, 1.0 
0.8113, 1.9577, 0.55, 0.18, 1.0 
0.8483, 1.9833, 0.55, 0.2, 1.0 
0.8882, 2.0085, 0.55, 0.22, 1.0 
0.9314, 2.0339, 0.55, 0.24, 1.0 
0.9781, 2.0595, 0.55, 0.26, 1.0 
1.029, 2.0852, 0.55, 0.28, 1.0 
1.0843, 2.1109, 0.55, 0.3, 1.0 
1.1448, 2.1367, 0.55, 0.32, 1.0 
1.211, 2.1623, 0.55, 0.34, 1.0 
1.284, 2.1886, 0.55, 0.36, 1.0 
1.3643, 2.2145, 0.55, 0.38, 1.0 
1.453, 2.2401, 0.55, 0.4, 1.0 
1.5516, 2.2658, 0.55, 0.42, 1.0 
1.6621, 2.2924, 0.55, 0.44, 1.0 
1.7853, 2.3182, 0.55, 0.46, 1.0 
1.9251, 2.3451, 0.55, 0.48, 1.0 
2.0828, 2.3715, 0.55, 0.5, 1.0 
2.2623, 2.3979, 0.55, 0.52, 1.0 
2.4686, 2.4247, 0.55, 0.54, 1.0 
2.7081, 2.4523, 0.55, 0.56, 1.0 
2.9861, 2.4796, 0.55, 0.58, 1.0 
3.3121, 2.5067, 0.55, 0.6, 1.0 
3.7007, 2.5348, 0.55, 0.62, 1.0 
4.1667, 2.563, 0.55, 0.64, 1.0 
4.7324, 2.5913, 0.55, 0.66, 1.0 
5.4344, 2.6209, 0.55, 0.68, 1.0 
0.545, 1.791, 0.57, 0.0, 1.0 
0.5651, 1.8191, 0.57, 0.02, 1.0 
0.5866, 1.8471, 0.57, 0.04, 1.0 
0.6096, 1.8747, 0.57, 0.06, 1.0 
0.6341, 1.9026, 0.57, 0.08, 1.0 
0.6603, 1.9309, 0.57, 0.1, 1.0 
0.6884, 1.9588, 0.57, 0.12, 1.0 
0.7187, 1.987, 0.57, 0.14, 1.0 
0.7512, 2.0148, 0.57, 0.16, 1.0 
0.7863, 2.0422, 0.57, 0.18, 1.0 
0.8242, 2.0705, 0.57, 0.2, 1.0 
0.8652, 2.0982, 0.57, 0.22, 1.0 
0.9097, 2.1261, 0.57, 0.24, 1.0 
0.9581, 2.1533, 0.57, 0.26, 1.0 
1.0109, 2.1813, 0.57, 0.28, 1.0 
1.0687, 2.2092, 0.57, 0.3, 1.0 
1.1319, 2.237, 0.57, 0.32, 1.0 
1.2015, 2.2646, 0.57, 0.34, 1.0 
1.278, 2.2918, 0.57, 0.36, 1.0 
1.3629, 2.3194, 0.57, 0.38, 1.0 
1.4572, 2.3472, 0.57, 0.4, 1.0 
1.5625, 2.3751, 0.57, 0.42, 1.0 
1.6804, 2.4029, 0.57, 0.44, 1.0 
1.8128, 2.4304, 0.57, 0.46, 1.0 
1.9628, 2.4582, 0.57, 0.48, 1.0 
2.1334, 2.486, 0.57, 0.5, 1.0 
2.3282, 2.5136, 0.57, 0.52, 1.0 
2.5539, 2.5422, 0.57, 0.54, 1.0 
2.8142, 2.5698, 0.57, 0.56, 1.0 
3.1204, 2.5984, 0.57, 0.58, 1.0 
3.4808, 2.6266, 0.57, 0.6, 1.0 
3.9117, 2.6554, 0.57, 0.62, 1.0 
4.4333, 2.6849, 0.57, 0.64, 1.0 
5.069, 2.7141, 0.57, 0.66, 1.0 
5.8571, 2.7435, 0.57, 0.68, 1.0 
0.5181, 1.854, 0.59, 0.0, 1.0 
0.538, 1.8844, 0.59, 0.02, 1.0 
0.5592, 1.9155, 0.59, 0.04, 1.0 
0.5821, 1.9459, 0.59, 0.06, 1.0 
0.6065, 1.9764, 0.59, 0.08, 1.0 
0.6328, 2.0072, 0.59, 0.1, 1.0 
0.6611, 2.0382, 0.59, 0.12, 1.0 
0.6917, 2.0682, 0.59, 0.14, 1.0 
0.7247, 2.099, 0.59, 0.16, 1.0 
0.7604, 2.1292, 0.59, 0.18, 1.0 
0.7992, 2.1596, 0.59, 0.2, 1.0 
0.8413, 2.19, 0.59, 0.22, 1.0 
0.8871, 2.2198, 0.59, 0.24, 1.0 
0.9372, 2.2502, 0.59, 0.26, 1.0 
0.992, 2.2798, 0.59, 0.28, 1.0 
1.0521, 2.3099, 0.59, 0.3, 1.0 
1.1181, 2.3391, 0.59, 0.32, 1.0 
1.191, 2.3686, 0.59, 0.34, 1.0 
1.2719, 2.3984, 0.59, 0.36, 1.0 
1.3615, 2.4276, 0.59, 0.38, 1.0 
1.4614, 2.4569, 0.59, 0.4, 1.0 
1.5733, 2.486, 0.59, 0.42, 1.0 
1.6995, 2.5157, 0.59, 0.44, 1.0 
1.8417, 2.5449, 0.59, 0.46, 1.0 
2.0026, 2.5734, 0.59, 0.48, 1.0 
2.187, 2.6026, 0.59, 0.5, 1.0 
2.3983, 2.6313, 0.59, 0.52, 1.0 
2.6439, 2.6607, 0.59, 0.54, 1.0 
2.9295, 2.6898, 0.59, 0.56, 1.0 
3.2649, 2.7188, 0.59, 0.58, 1.0 
3.6631, 2.748, 0.59, 0.6, 1.0 
4.1409, 2.7774, 0.59, 0.62, 1.0 
4.7211, 2.8072, 0.59, 0.64, 1.0 
5.4344, 2.8372, 0.59, 0.66, 1.0 
6.3225, 2.867, 0.59, 0.68, 1.0 
0.491, 1.9165, 0.61, 0.0, 1.0 
0.5105, 1.9504, 0.61, 0.02, 1.0 
0.5315, 1.984, 0.61, 0.04, 1.0 
0.5541, 2.0178, 0.61, 0.06, 1.0 
0.5784, 2.0518, 0.61, 0.08, 1.0 
0.6047, 2.0854, 0.61, 0.1, 1.0 
0.6332, 2.1185, 0.61, 0.12, 1.0 
0.6641, 2.1517, 0.61, 0.14, 1.0 
0.6975, 2.185, 0.61, 0.16, 1.0 
0.7338, 2.2183, 0.61, 0.18, 1.0 
0.7734, 2.2509, 0.61, 0.2, 1.0 
0.8166, 2.2842, 0.61, 0.22, 1.0 
0.8638, 2.3167, 0.61, 0.24, 1.0 
0.9155, 2.3489, 0.61, 0.26, 1.0 
0.9723, 2.3809, 0.61, 0.28, 1.0 
1.0348, 2.4126, 0.61, 0.3, 1.0 
1.104, 2.4445, 0.61, 0.32, 1.0 
1.1804, 2.476, 0.61, 0.34, 1.0 
1.2655, 2.5076, 0.61, 0.36, 1.0 
1.3601, 2.5384, 0.61, 0.38, 1.0 
1.4659, 2.569, 0.61, 0.4, 1.0 
1.5852, 2.6002, 0.61, 0.42, 1.0 
1.7197, 2.6309, 0.61, 0.44, 1.0 
1.8718, 2.661, 0.61, 0.46, 1.0 
2.045, 2.6909, 0.61, 0.48, 1.0 
2.2443, 2.7212, 0.61, 0.5, 1.0 
2.4744, 2.7517, 0.61, 0.52, 1.0 
2.7404, 2.7811, 0.61, 0.54, 1.0 
3.0535, 2.8115, 0.61, 0.56, 1.0 
3.4209, 2.8407, 0.61, 0.58, 1.0 
3.8605, 2.8707, 0.61, 0.6, 1.0 
4.3899, 2.9006, 0.61, 0.62, 1.0 
5.0383, 2.9314, 0.61, 0.64, 1.0 
5.8351, 2.9612, 0.61, 0.66, 1.0 
6.8398, 2.992, 0.61, 0.68, 1.0 
0.4637, 1.9795, 0.63, 0.0, 1.0 
0.4828, 2.0167, 0.63, 0.02, 1.0 
0.5035, 2.0536, 0.63, 0.04, 1.0 
0.5258, 2.0906, 0.63, 0.06, 1.0 
0.5499, 2.1278, 0.63, 0.08, 1.0 
0.5762, 2.1644, 0.63, 0.1, 1.0 
0.6047, 2.2011, 0.63, 0.12, 1.0 
0.6358, 2.2371, 0.63, 0.14, 1.0 
0.6696, 2.2738, 0.63, 0.16, 1.0 
0.7065, 2.3097, 0.63, 0.18, 1.0 
0.7469, 2.3454, 0.63, 0.2, 1.0 
0.7912, 2.3802, 0.63, 0.22, 1.0 
0.8398, 2.4155, 0.63, 0.24, 1.0 
0.8932, 2.4504, 0.63, 0.26, 1.0 
0.9521, 2.4848, 0.63, 0.28, 1.0 
1.0172, 2.5187, 0.63, 0.3, 1.0 
1.0894, 2.5529, 0.63, 0.32, 1.0 
1.1696, 2.5862, 0.63, 0.34, 1.0 
1.2588, 2.6187, 0.63, 0.36, 1.0 
1.3589, 2.6518, 0.63, 0.38, 1.0 
1.471, 2.6838, 0.63, 0.4, 1.0 
1.5977, 2.7161, 0.63, 0.42, 1.0 
1.7414, 2.7485, 0.63, 0.44, 1.0 
1.9047, 2.78, 0.63, 0.46, 1.0 
2.0913, 2.8112, 0.63, 0.48, 1.0 
2.3056, 2.8418, 0.63, 0.5, 1.0 
2.555, 2.8731, 0.63, 0.52, 1.0 
2.8456, 2.9039, 0.63, 0.54, 1.0 
3.1857, 2.9338, 0.63, 0.56, 1.0 
3.5915, 2.9648, 0.63, 0.58, 1.0 
4.0769, 2.9953, 0.63, 0.6, 1.0 
4.6638, 3.0257, 0.63, 0.62, 1.0 
5.3818, 3.0557, 0.63, 0.64, 1.0 
6.275, 3.086, 0.63, 0.66, 1.0 
7.4059, 3.117, 0.63, 0.68, 1.0 
0.4363, 2.0425, 0.65, 0.0, 1.0 
0.455, 2.0829, 0.65, 0.02, 1.0 
0.4752, 2.1239, 0.65, 0.04, 1.0 
0.4972, 2.1645, 0.65, 0.06, 1.0 
0.5211, 2.2051, 0.65, 0.08, 1.0 
0.5473, 2.245, 0.65, 0.1, 1.0 
0.5759, 2.2849, 0.65, 0.12, 1.0 
0.6071, 2.3247, 0.65, 0.14, 1.0 
0.6413, 2.3643, 0.65, 0.16, 1.0 
0.6788, 2.4029, 0.65, 0.18, 1.0 
0.72, 2.4419, 0.65, 0.2, 1.0 
0.7653, 2.4798, 0.65, 0.22, 1.0 
0.8152, 2.5179, 0.65, 0.24, 1.0 
0.8704, 2.5548, 0.65, 0.26, 1.0 
0.9315, 2.5917, 0.65, 0.28, 1.0 
0.9992, 2.6279, 0.65, 0.3, 1.0 
1.0745, 2.6633, 0.65, 0.32, 1.0 
1.1585, 2.6985, 0.65, 0.34, 1.0 
1.2526, 2.7334, 0.65, 0.36, 1.0 
1.3583, 2.768, 0.65, 0.38, 1.0 
1.4773, 2.8019, 0.65, 0.4, 1.0 
1.6119, 2.8352, 0.65, 0.42, 1.0 
1.7646, 2.8675, 0.65, 0.44, 1.0 
1.9395, 2.9004, 0.65, 0.46, 1.0 
2.1403, 2.9327, 0.65, 0.48, 1.0 
2.3718, 2.9642, 0.65, 0.5, 1.0 
2.6419, 2.9962, 0.65, 0.52, 1.0 
2.9576, 3.0274, 0.65, 0.54, 1.0 
3.3302, 3.0583, 0.65, 0.56, 1.0 
3.7743, 3.0892, 0.65, 0.58, 1.0 
4.3096, 3.1203, 0.65, 0.6, 1.0 
4.9594, 3.1508, 0.65, 0.62, 1.0 
5.7609, 3.1816, 0.65, 0.64, 1.0 
6.7624, 3.2123, 0.65, 0.66, 1.0 
8.0359, 3.2432, 0.65, 0.68, 1.0 
0.409, 2.105, 0.67, 0.0, 1.0 
0.427, 2.1499, 0.67, 0.02, 1.0 
0.4467, 2.195, 0.67, 0.04, 1.0 
0.4683, 2.2395, 0.67, 0.06, 1.0 
0.492, 2.2839, 0.67, 0.08, 1.0 
0.518, 2.3276, 0.67, 0.1, 1.0 
0.5465, 2.3716, 0.67, 0.12, 1.0 
0.5779, 2.4147, 0.67, 0.14, 1.0 
0.6125, 2.4574, 0.67, 0.16, 1.0 
0.6506, 2.4997, 0.67, 0.18, 1.0 
0.6926, 2.5414, 0.67, 0.2, 1.0 
0.739, 2.5825, 0.67, 0.22, 1.0 
0.7904, 2.6228, 0.67, 0.24, 1.0 
0.8474, 2.6624, 0.67, 0.26, 1.0 
0.9107, 2.7018, 0.67, 0.28, 1.0 
0.9812, 2.7403, 0.67, 0.3, 1.0 
1.0599, 2.7776, 0.67, 0.32, 1.0 
1.148, 2.8146, 0.67, 0.34, 1.0 
1.247, 2.851, 0.67, 0.36, 1.0 
1.3585, 2.8868, 0.67, 0.38, 1.0 
1.4845, 2.9218, 0.67, 0.4, 1.0 
1.6275, 2.9559, 0.67, 0.42, 1.0 
1.7906, 2.9896, 0.67, 0.44, 1.0 
1.9782, 3.0237, 0.67, 0.46, 1.0 
2.1935, 3.0561, 0.67, 0.48, 1.0 
2.4433, 3.0883, 0.67, 0.5, 1.0 
2.7358, 3.1208, 0.67, 0.52, 1.0 
3.0788, 3.1523, 0.67, 0.54, 1.0 
3.4866, 3.1841, 0.67, 0.56, 1.0 
3.9726, 3.2148, 0.67, 0.58, 1.0 
4.5627, 3.2462, 0.67, 0.6, 1.0 
5.2819, 3.2768, 0.67, 0.62, 1.0 
6.1723, 3.3073, 0.67, 0.64, 1.0 
7.2937, 3.3383, 0.67, 0.66, 1.0 
8.7262, 3.3692, 0.67, 0.68, 1.0 
0.3816, 2.168, 0.69, 0.0, 1.0 
0.399, 2.2175, 0.69, 0.02, 1.0 
0.4182, 2.2665, 0.69, 0.04, 1.0 
0.4393, 2.3159, 0.69, 0.06, 1.0 
0.4627, 2.3646, 0.69, 0.08, 1.0 
0.4885, 2.4129, 0.69, 0.1, 1.0 
0.5171, 2.4602, 0.69, 0.12, 1.0 
0.5485, 2.5076, 0.69, 0.14, 1.0 
0.5835, 2.5536, 0.69, 0.16, 1.0 
0.6221, 2.5997, 0.69, 0.18, 1.0 
0.665, 2.6442, 0.69, 0.2, 1.0 
0.7125, 2.6886, 0.69, 0.22, 1.0 
0.7654, 2.7311, 0.69, 0.24, 1.0 
0.8243, 2.7734, 0.69, 0.26, 1.0 
0.8899, 2.8153, 0.69, 0.28, 1.0 
0.9633, 2.8551, 0.69, 0.3, 1.0 
1.0456, 2.8952, 0.69, 0.32, 1.0 
1.138, 2.9338, 0.69, 0.34, 1.0 
1.2419, 2.9707, 0.69, 0.36, 1.0 
1.3596, 3.0075, 0.69, 0.38, 1.0 
1.4933, 3.0443, 0.69, 0.4, 1.0 
1.6456, 3.0798, 0.69, 0.42, 1.0 
1.8194, 3.1138, 0.69, 0.44, 1.0 
2.0198, 3.148, 0.69, 0.46, 1.0 
2.2513, 3.1812, 0.69, 0.48, 1.0 
2.5219, 3.2148, 0.69, 0.5, 1.0 
2.8374, 3.2468, 0.69, 0.52, 1.0 
3.21, 3.2784, 0.69, 0.54, 1.0 
3.6544, 3.31, 0.69, 0.56, 1.0 
4.1901, 3.342, 0.69, 0.58, 1.0 
4.8382, 3.3728, 0.69, 0.6, 1.0 
5.6338, 3.4034, 0.69, 0.62, 1.0 
6.6268, 3.4344, 0.69, 0.64, 1.0 
7.878, 3.4647, 0.69, 0.66, 1.0 
9.4887, 3.4955, 0.69, 0.68, 1.0 
0.3543, 2.231, 0.71, 0.0, 1.0 
0.3711, 2.2851, 0.71, 0.02, 1.0 
0.3896, 2.3396, 0.71, 0.04, 1.0 
0.4102, 2.394, 0.71, 0.06, 1.0 
0.4332, 2.4474, 0.71, 0.08, 1.0 
0.4588, 2.5002, 0.71, 0.1, 1.0 
0.4873, 2.5524, 0.71, 0.12, 1.0 
0.519, 2.6037, 0.71, 0.14, 1.0 
0.5542, 2.6541, 0.71, 0.16, 1.0 
0.5935, 2.7035, 0.71, 0.18, 1.0 
0.6372, 2.7517, 0.71, 0.2, 1.0 
0.686, 2.7986, 0.71, 0.22, 1.0 
0.7405, 2.8441, 0.71, 0.24, 1.0 
0.8014, 2.8882, 0.71, 0.26, 1.0 
0.8695, 2.9316, 0.71, 0.28, 1.0 
0.9459, 2.9742, 0.71, 0.3, 1.0 
1.0319, 3.0152, 0.71, 0.32, 1.0 
1.1288, 3.0551, 0.71, 0.34, 1.0 
1.2383, 3.0941, 0.71, 0.36, 1.0 
1.3625, 3.1318, 0.71, 0.38, 1.0 
1.5041, 3.1692, 0.71, 0.4, 1.0 
1.6658, 3.205, 0.71, 0.42, 1.0 
1.8514, 3.2401, 0.71, 0.44, 1.0 
2.0663, 3.2751, 0.71, 0.46, 1.0 
2.3153, 3.3088, 0.71, 0.48, 1.0 
2.6062, 3.3419, 0.71, 0.5, 1.0 
2.9477, 3.374, 0.71, 0.52, 1.0 
3.3539, 3.4064, 0.71, 0.54, 1.0 
3.8383, 3.4377, 0.71, 0.56, 1.0 
4.4242, 3.4692, 0.71, 0.58, 1.0 
5.1381, 3.5001, 0.71, 0.6, 1.0 
6.018, 3.5305, 0.71, 0.62, 1.0 
7.1205, 3.5611, 0.71, 0.64, 1.0 
8.5261, 3.5923, 0.71, 0.66, 1.0 
10.3381, 3.6228, 0.71, 0.68, 1.0 
0.3272, 2.2935, 0.73, 0.0, 1.0 
0.3431, 2.3539, 0.73, 0.02, 1.0 
0.361, 2.4142, 0.73, 0.04, 1.0 
0.3811, 2.4741, 0.73, 0.06, 1.0 
0.4038, 2.5327, 0.73, 0.08, 1.0 
0.4292, 2.5905, 0.73, 0.1, 1.0 
0.4575, 2.648, 0.73, 0.12, 1.0 
0.4894, 2.7036, 0.73, 0.14, 1.0 
0.5251, 2.7578, 0.73, 0.16, 1.0 
0.565, 2.8105, 0.73, 0.18, 1.0 
0.6097, 2.8624, 0.73, 0.2, 1.0 
0.6598, 2.9118, 0.73, 0.22, 1.0 
0.7159, 2.9603, 0.73, 0.24, 1.0 
0.7789, 3.0078, 0.73, 0.26, 1.0 
0.8497, 3.0525, 0.73, 0.28, 1.0 
0.9294, 3.097, 0.73, 0.3, 1.0 
1.0193, 3.1394, 0.73, 0.32, 1.0 
1.1209, 3.1805, 0.73, 0.34, 1.0 
1.2362, 3.2203, 0.73, 0.36, 1.0 
1.3674, 3.2587, 0.73, 0.38, 1.0 
1.5173, 3.2964, 0.73, 0.4, 1.0 
1.6894, 3.3333, 0.73, 0.42, 1.0 
1.8872, 3.3682, 0.73, 0.44, 1.0 
2.1167, 3.4029, 0.73, 0.46, 1.0 
2.3843, 3.437, 0.73, 0.48, 1.0 
2.698, 3.4702, 0.73, 0.5, 1.0 
3.0675, 3.5022, 0.73, 0.52, 1.0 
3.5084, 3.5344, 0.73, 0.54, 1.0 
4.038, 3.5661, 0.73, 0.56, 1.0 
4.6785, 3.597, 0.73, 0.58, 1.0 
5.4647, 3.6278, 0.73, 0.6, 1.0 
6.4377, 3.658, 0.73, 0.62, 1.0 
7.6662, 3.6888, 0.73, 0.64, 1.0 
9.2336, 3.7193, 0.73, 0.66, 1.0 
11.2699, 3.7495, 0.73, 0.68, 1.0 
0.3002, 2.3565, 0.75, 0.0, 1.0 
0.3153, 2.4236, 0.75, 0.02, 1.0 
0.3325, 2.4904, 0.75, 0.04, 1.0 
0.3522, 2.5559, 0.75, 0.06, 1.0 
0.3744, 2.6211, 0.75, 0.08, 1.0 
0.3995, 2.6852, 0.75, 0.1, 1.0 
0.428, 2.747, 0.75, 0.12, 1.0 
0.46, 2.8079, 0.75, 0.14, 1.0 
0.4962, 2.866, 0.75, 0.16, 1.0 
0.5368, 2.923, 0.75, 0.18, 1.0 
0.5825, 2.9779, 0.75, 0.2, 1.0 
0.634, 3.0305, 0.75, 0.22, 1.0 
0.6919, 3.0818, 0.75, 0.24, 1.0 
0.7572, 3.1308, 0.75, 0.26, 1.0 
0.8307, 3.1774, 0.75, 0.28, 1.0 
0.9138, 3.2225, 0.75, 0.3, 1.0 
1.0078, 3.266, 0.75, 0.32, 1.0 
1.1145, 3.3081, 0.75, 0.34, 1.0 
1.2361, 3.3494, 0.75, 0.36, 1.0 
1.3745, 3.388, 0.75, 0.38, 1.0 
